"","genus_sp","ED","evol_dist_scaled","global_di","funct_dist_scaled","scarcity_average","scarcity_scaled","biomass","biomass_log","biomass_log_scaled","scarcity_logbio_scaled","Ri","restrictedness_scaled"
"725","Allocyttus_verrucosus",52.4988890227306,0.275146470454792,0.391935514342825,0.430692800435012,0.999846423349965,0.999844974437298,0.511,-0.291579099865287,0.258187294912061,0.741812705087939,0.99956766104626,1
"2506","Apogon_imberbis",100.662499261686,0.605229043804438,0.401944016986288,0.467691230057861,0.999927425468189,0.999926967989345,0.58871429,-0.230095422328098,0.264781281935562,0.735218718064438,0.996973627323822,0.996348143639683
"6461","Bellottia_apoda",37.5282577256175,0.172547340557692,0.380879175717183,0.389820835756617,0.999994950292637,0.999995319290883,0.135882052,-0.866837903327268,0.196492073722858,0.803507926277142,0.990056204063986,0.986609860012173
"11955","Cataetyx_alleni",40.6500666399964,0.193942221773026,0.383043740993991,0.397822583761384,0.999974142932362,0.999974257256765,1.48189171,0.170816468509865,0.307778186344108,0.692221813655892,0.993514915693904,0.991479001825928
"12103","Centrolabrus_exoletus",25.585549647901,0.0906996593830812,0.398983184709167,0.456745922000049,0.999960592857625,0.999960541334483,0.999449,-0.000239362209875051,0.289432830743384,0.710567169256616,0.997405966277562,0.996956786366403
"15449","Chirolophis_ascanii",29.527110809615,0.117712598089684,0.374595329950685,0.366591344429612,0.999968733316899,0.999968781429752,0.557486364,-0.253765750902188,0.262242692090068,0.737757307909932,0.994379593601384,0.992696287279367
"26641","Fistularia_commersonii",94.4713473181554,0.56279884898764,0.38073332234367,0.389281659621344,0.999943929594013,0.999943674119129,0.56,-0.2518119729938,0.2624522304048,0.7375477695952,0.998702983138781,0.998782714546561
"31185","Gobius_auratus",33.6686484748775,0.146096047822624,0.377354730748757,0.376792020781074,0.999996093458998,0.999996476449147,0.02142857,-1.66900680991154,0.110461251030565,0.889538748969435,0.99956766104626,1
"31666","Grammonus_ater",37.5282577256175,0.172547340557692,0.383586486969716,0.399828952696008,0.999996538625906,0.999996927064721,0.02,-1.69897000433602,0.107247765384751,0.892752234615249,0.999135322092521,0.999391357273281
"32713","Hippocampus_guttulatus",41.249827792666,0.198052601034176,0.404206139064917,0.476053616271461,0.999994831107772,0.999995198647242,0.16,-0.795880017344075,0.204102148430982,0.795897851569018,0.996108949416342,0.995130858186245
"39647","Lichia_amia",67.681911337038,0.379201192512945,0.376715563020978,0.374429209575854,0.999965809860895,0.999965822191805,0.336,-0.473660722610156,0.238659447755045,0.761340552244955,0.999135322092521,0.999391357273281
"43307","Lycenchelys_sarsii",16.2500656901666,0.026720224433228,0.40318325431123,0.472272318417051,0.99999407753945,0.999994435855543,0.242,-0.616184634019569,0.223374076742491,0.776625923257509,0.996973627323822,0.996348143639683
"43345","Lycodes_terraenovae",13.1405301901645,0.00540945734848412,0.398274160824555,0.454124873554517,0.999855616603078,0.999854280212186,0.40347,-0.394188751694883,0.24718263904643,0.75281736095357,0.999135322092521,0.999391357273281
"45439","Melanostigma_atlanticum",16.2500656901666,0.026720224433228,0.387742615148615,0.415192910863217,0.999995697852205,0.999996076000284,0.1477360896,-0.830513400425479,0.200387795487787,0.799612204512213,0.991353220925205,0.988435788192331
"55362","Naucrates_ductor",41.1583517120248,0.197425682496546,0.384804252501981,0.404330666283712,0.99995671032392,0.999956611280104,0.211,-0.675717544702307,0.216989305104917,0.783010694895083,0.99956766104626,1
"55444","Neocyttus_helgae",52.4988890227306,0.275146470454792,0.379382244229511,0.384287129440116,0.999997144641612,0.99999754049782,0.0095,-2.02227639471115,0.0725738774824082,0.927426122517592,0.99956766104626,1
"55512","Neoraja_iberica",51.205185572314,0.2662802546137,0.374421208702167,0.365947670446738,0.999977021360374,0.999977170915595,0.112,-0.950781977329818,0.187489259368792,0.812510740631208,0.99956766104626,1
"55513","Nerophis_lumbriciformis",24.6514284304211,0.0842977901345656,0.412587108759307,0.507035545182839,0.999995819618858,0.999996199257312,0.024727273,-1.60682377633401,0.1171302424266,0.8828697575734,0.998702983138781,0.998782714546561
"55516","Nerophis_ophidion",58.1808097594567,0.314086720345577,0.412331847697047,0.506091921667523,0.999950110031573,0.999949930202795,0.496,-0.304518323509803,0.256799592090374,0.743200407909626,0.997405966277562,0.996956786366403
"56212","Odondebuenia_balearica",64.6132958862833,0.358170865268366,0.394974059905964,0.441925391180944,0.9999993928222,0.999999816195247,0.003,-2.52287874528034,0.0188853940375092,0.981114605962491,0.99956766104626,1
"56698","Pachycara_crassiceps",27.3034158712394,0.10247281552434,0.376433702584334,0.373387256158834,0.999853319114174,0.999851954602928,1.37276,0.137594616052149,0.304215216906077,0.695784783093923,0.999135322092521,0.999391357273281
"62759","Pseudaphya_ferreri",42.4364866703295,0.206185201852181,0.416413097499273,0.521179076955388,0.999943155187,0.999942890233681,1.514,0.180125875164054,0.308776599404828,0.691223400595172,0.996541288370082,0.995739500912964
"62806","Pungitius_pungitius",41.3652509797306,0.198843637719788,0.40908955629534,0.49410614372289,0.999992014836413,0.999992347905838,0.583,-0.234331445240986,0.264326977944036,0.735673022055964,0.987029831387808,0.982349360925137
"65411","Regalecus_glesne",79.0717101013675,0.457259586960787,0.44661195610071,0.632815191213246,0.999963274821493,0.999963256124527,0.086,-1.06550154875643,0.175185841687392,0.824814158312608,0.999135322092521,0.999391357273281
"65414","Rhinoptera_marginata",138.717441309333,0.866033272088789,0.443184811681058,0.620146067155945,0.999401810840387,0.999394920046815,0.7,-0.154901959985743,0.272845612743322,0.727154387256678,0.99956766104626,1
"73116","Siganus_luridus",45.8465939549721,0.229555895667048,0.413518116560675,0.510477201526882,0.999972274139132,0.999972365590246,0.29,-0.537602002101044,0.231801888413805,0.768198111586195,0.99956766104626,1
"73117","Siganus_rivulatus",45.8465939549721,0.229555895667048,0.412564335955921,0.50695136096534,0.999989803996584,0.999990110006206,0.08,-1.09691001300806,0.171817354082238,0.828182645917762,0.99956766104626,1
"75102","Spratelloides_lewisi",118.881207853312,0.730088417617892,0.442986509758376,0.61941300447996,0.99994382827351,0.999943571558503,0.61107694,-0.213904104792223,0.266517764559919,0.733482235440081,0.999135322092521,0.999391357273281
"77302","Symphodus_rostratus",14.4080349621768,0.0140961242076141,0.394186223736401,0.439012997378168,0.999960266103531,0.999960210581049,0.9964159,-0.0015593509597307,0.289291264899629,0.710708735100371,0.996541288370082,0.995739500912964
"78214","Syngnathus_abaster",19.0243133887544,0.0457331434174149,0.402264279239935,0.468875143463745,0.999969944004697,0.999970006935889,0.1,-1,0.182210736420759,0.817789263579241,0.999135322092521,0.999391357273281
"78523","Syngnathus_phlegon",74.947873999473,0.428997452419125,0.397328931996079,0.450630646342549,0.999997639801505,0.999998041718274,0.022,-1.65757731917779,0.111687038371246,0.888312961628754,0.997405966277562,0.996956786366403
"78644","Syngnathus_taenionotus",18.5249403887544,0.0423107603343458,0.398260100516318,0.454072896816008,0.999955069859368,0.999954950736916,0.146,-0.835647144215563,0.199837212938243,0.800162787061757,0.998702983138781,0.998782714546561
"78647","Syngnathus_tenuirostris",32.3788969304211,0.137256915816869,0.399968422143037,0.460388049015188,0.999957639941109,0.999957552275439,0.106,-0.97469413473523,0.184924733921534,0.815075266078466,0.999135322092521,0.999391357273281
"82612","Trichiurus_lepturus",49.8925341716405,0.25728418164293,0.402758610512612,0.470702537775766,0.999754074101827,0.999751494870964,1.13,0.0530784434834198,0.295151046259208,0.704848953740792,0.998702983138781,0.998782714546561
"86049","Vinciguerria_attenuata",65.662321814353,0.365360217896414,0.372975656851909,0.360603899225087,0.99998081750474,0.999981013523263,1.3937912456,0.144197732389682,0.304923386377852,0.695076613622148,0.982274102896671,0.975654290931223
"86090","Vinciguerria_poweriae",65.662321814353,0.365360217896414,0.441542258288831,0.614074040375419,0.999968598735472,0.999968645201103,1.326995349,0.122869400703791,0.302635970465156,0.697364029534844,0.990488543017726,0.987218502738892
