"","genus_sp","ED","evol_dist_scaled","global_di","funct_dist_scaled","scarcity_average","scarcity_scaled","biomass","biomass_log","biomass_log_scaled","scarcity_logbio_scaled","Ri","restrictedness_scaled"
"2119","Anoplogaster_cornuta",68.6438228708585,0.385793518811636,0.345285963103142,0.258243414151809,0.999971513677443,0.999971595820807,0.294,-0.531652669587843,0.232439941031377,0.767560058968623,0.998270644185041,0.998174071819842
"2233","Antigonia_capros",77.8605097882815,0.448958794844045,0.347135163966891,0.265079354596967,0.999987820230243,0.999988101959351,0.08,-1.09691001300806,0.171817354082238,0.828182645917762,0.99956766104626,1
"2506","Apogon_imberbis",100.662499261686,0.605229043804438,0.401944016986288,0.467691230057861,0.999927425468189,0.999926967989345,0.58871429,-0.230095422328098,0.264781281935562,0.735218718064438,0.996973627323822,0.996348143639683
"2535","Apristurus_microps",86.259188740545,0.506517967579366,0.320647350238386,0.167161859142503,0.999902578221998,0.999901816622709,0.632,-0.199282921717615,0.268085853771952,0.731914146228048,0.998270644185041,0.998174071819842
"7782","Borostomias_antarcticus",69.1066796874005,0.388965643333419,0.318584089535023,0.159534603733141,0.999954285621816,0.999954156900608,1.291041667,0.110940258886222,0.301356596662264,0.698643403337736,0.994379593601384,0.992696287279367
"15447","Chiasmodon_niger",76.5321237460908,0.439854886706084,0.337816490813893,0.23063101750683,0.99995902613538,0.999958955436179,0.3175,-0.498256270372006,0.236021630219173,0.763978369780827,0.999135322092521,0.999391357273281
"15462","Chlopsis_bicolor",107.102100271149,0.649361949581288,0.321816003239456,0.171482018446437,0.99997570802755,0.999975841508098,1.332486063,0.124662675264202,0.302828295154481,0.697171704845519,0.990920881971466,0.987827145465612
"18855","Cryptopsaras_couesii",73.3537639724406,0.418072442078025,0.347333763747128,0.265813518362915,0.999994296931125,0.999994657932485,0.018,-1.74472749489669,0.102340376772505,0.897659623227495,0.99956766104626,1
"19538","Cyclothone_braueri",77.3113602465283,0.445195275186853,0.370351610251135,0.350903586706386,0.999981430384505,0.999981633904434,0.1652,-0.781989957015637,0.205591826362266,0.794408173637734,0.996541288370082,0.995739500912964
"19546","Cyclothone_pygmaea",77.3113602465283,0.445195275186853,0.352801706639851,0.286026861707566,0.999996353908706,0.999996740086657,0.035,-1.45593195564972,0.133313053009827,0.866686946990173,0.996541288370082,0.995739500912964
"25136","Eurypharynx_pelecanoides",106.386639673947,0.644458640342566,0.357764008625446,0.304371002416894,0.999989480298885,0.999989782346575,0.035,-1.45593195564972,0.133313053009827,0.866686946990173,0.99956766104626,1
"26641","Fistularia_commersonii",94.4713473181554,0.56279884898764,0.38073332234367,0.389281659621344,0.999943929594013,0.999943674119129,0.56,-0.2518119729938,0.2624522304048,0.7375477695952,0.998702983138781,0.998782714546561
"31644","Gonostoma_denudatum",98.9699805937405,0.593629603592503,0.316088345208939,0.150308586206378,0.999953195438359,0.999953053373738,1.17308921,0.0693310401952665,0.296894100938253,0.703105899061746,0.990920881971466,0.987827145465612
"34844","Ichthyococcus_ovatus",79.4766915785032,0.460035070930296,0.364095709970789,0.327777401452179,0.999998108434942,0.999998516087598,0.050577777,-1.29604026273083,0.150461079778963,0.849538920221037,0.992217898832685,0.98965307364577
"39647","Lichia_amia",67.681911337038,0.379201192512945,0.376715563020978,0.374429209575854,0.999965809860895,0.999965822191805,0.336,-0.473660722610156,0.238659447755045,0.761340552244955,0.999135322092521,0.999391357273281
"43957","Malacoraja_kreffti",64.2269153557119,0.355522860287209,0.338179412410112,0.23197262969545,0.999819988276773,0.999818215809287,0.50304,-0.298397479976705,0.257456038881568,0.742543961118432,0.99956766104626,1
"43963","Manducus_maderensis",80.1736853393091,0.464811820285961,0.297960037502956,0.0832936749120005,0.999996353464844,0.999996739637362,0.0255,-1.59345981956604,0.118563496926663,0.881436503073337,0.999135322092521,0.999391357273281
"45437","Melanonus_zugmayeri",65.9116459354509,0.367068925924775,0.297849646539132,0.0828855926591876,0.999988512708981,0.999988802913754,0.124,-0.906578314837765,0.192230003392887,0.807769996607113,0.999135322092521,0.999391357273281
"55353","Nansenia_oblita",68.4265508997939,0.3843044757152,0.316196277816316,0.15070758065343,0.99996654643406,0.999966567780334,0.508619048,-0.293607379342406,0.257969766470565,0.742030233529435,0.996108949416342,0.995130858186245
"55527","Nessorhamphus_ingolfianus",102.639566861151,0.618778600361348,0.34185710606337,0.245567959052069,0.999965134586734,0.999965138652556,0.1575,-0.802719441874381,0.203368635433589,0.796631364566411,0.999135322092521,0.999391357273281
"56026","Notoscopelus_bolini",63.6033421493411,0.35124928844304,0.363189284085072,0.324426617070567,0.999975565959341,0.99997569770103,1.146331241,0.0593101284100129,0.295819380542167,0.704180619457833,0.991785559878945,0.989044430919051
"56212","Odondebuenia_balearica",64.6132958862833,0.358170865268366,0.394974059905964,0.441925391180944,0.9999993928222,0.999999816195247,0.003,-2.52287874528034,0.0188853940375092,0.981114605962491,0.99956766104626,1
"58409","Parasudis_fraserbrunneri",77.1815356089368,0.444305540172227,0.322616377781993,0.174440762849961,0.999942970774848,0.999942703564398,0.18,-0.744727494896694,0.209588142157256,0.790411857842743,0.99956766104626,1
"62755","Poromitra_crassiceps",69.7070288708565,0.393080052581405,0.355478573175094,0.295922433666939,0.999994895455808,0.999995263782873,0.028,-1.55284196865778,0.122919670671306,0.877080329328694,0.99956766104626,1
"62767","Pteragogus_pelycus",74.367955983046,0.425023065319729,0.362550431022891,0.3220649690896,0.999985263643736,0.999985514081238,0.338,-0.471083299722345,0.238935870600214,0.761064129399786,0.99956766104626,1
"65390","Raniceps_raninus",64.0775590132817,0.354499267462443,0.278721078967833,0.0121730209304955,0.999955350980582,0.999955235298943,1.08263404,0.0344816779848164,0.293156584716099,0.706843415283901,0.990920881971466,0.987827145465612
"65411","Regalecus_glesne",79.0717101013675,0.457259586960787,0.44661195610071,0.632815191213246,0.999963274821493,0.999963256124527,0.086,-1.06550154875643,0.175185841687392,0.824814158312608,0.999135322092521,0.999391357273281
"65413","Remora_brachyptera",67.681911337038,0.379201192512945,0.309187101879986,0.124796761439742,0.999993143930526,0.999993490819616,0.036,-1.44369749923271,0.134625171121248,0.865374828878752,0.99956766104626,1
"65414","Rhinoptera_marginata",138.717441309333,0.866033272088789,0.443184811681058,0.620146067155945,0.999401810840387,0.999394920046815,0.7,-0.154901959985743,0.272845612743322,0.727154387256678,0.99956766104626,1
"68261","Scopelogadus_beanii",69.7070288708565,0.393080052581405,0.35779661691264,0.304491545465325,0.999898583049584,0.999897772550968,1.4462,0.160228357197859,0.306642635066251,0.693357364933749,0.997838305231301,0.997565429093122
"73118","Sigmops_bathyphilus",97.0430608715283,0.580423728505681,0.30129295836108,0.0956144827491622,0.999967050131481,0.999967077642812,0.417,-0.379863945026242,0.24871894255121,0.75128105744879,0.998270644185041,0.998174071819842
"75102","Spratelloides_lewisi",118.881207853312,0.730088417617892,0.442986509758376,0.61941300447996,0.99994382827351,0.999943571558503,0.61107694,-0.213904104792223,0.266517764559919,0.733482235440081,0.999135322092521,0.999391357273281
"76785","Stephanolepis_diaspros",75.0640337762251,0.429793537219243,0.355291959308759,0.295232578226401,0.999974962576199,0.999975086932717,0.37,-0.431798275933005,0.243149101614708,0.756850898385292,0.999135322092521,0.999391357273281
"77037","Sudis_hyalina",68.8437896714237,0.387163963339934,0.33931348132552,0.236164942017174,0.999990351282365,0.999990663990548,0.5429083929,-0.26527344447071,0.261008517670111,0.738991482329889,0.990056204063986,0.986609860012173
"78523","Syngnathus_phlegon",74.947873999473,0.428997452419125,0.397328931996079,0.450630646342549,0.999997639801505,0.999998041718274,0.022,-1.65757731917779,0.111687038371246,0.888312961628754,0.997405966277562,0.996956786366403
"86047","Venefica_proboscidea",66.7221323258847,0.372623481160397,0.342588297276158,0.248270953455019,0.999883898302691,0.999882908068593,1.236,0.092018470752797,0.29932727716787,0.70067272283213,0.999135322092521,0.999391357273281
"86049","Vinciguerria_attenuata",65.662321814353,0.365360217896414,0.372975656851909,0.360603899225087,0.99998081750474,0.999981013523263,1.3937912456,0.144197732389682,0.304923386377852,0.695076613622148,0.982274102896671,0.975654290931223
"86090","Vinciguerria_poweriae",65.662321814353,0.365360217896414,0.441542258288831,0.614074040375419,0.999968598735472,0.999968645201103,1.326995349,0.122869400703791,0.302635970465156,0.697364029534844,0.990488543017726,0.987218502738892
