"","genus_sp","ED","evol_dist_scaled","global_di","funct_dist_scaled","scarcity_average","scarcity_scaled","biomass","biomass_log","biomass_log_scaled","scarcity_logbio_scaled","Ri","restrictedness_scaled"
"2506","Apogon_imberbis",100.662499261686,0.605229043804438,0.401944016986288,0.467691230057861,0.999927425468189,0.999926967989345,0.58871429,-0.230095422328098,0.264781281935562,0.735218718064438,0.996973627323822,0.996348143639683
"26641","Fistularia_commersonii",94.4713473181554,0.56279884898764,0.38073332234367,0.389281659621344,0.999943929594013,0.999943674119129,0.56,-0.2518119729938,0.2624522304048,0.7375477695952,0.998702983138781,0.998782714546561
"39647","Lichia_amia",67.681911337038,0.379201192512945,0.376715563020978,0.374429209575854,0.999965809860895,0.999965822191805,0.336,-0.473660722610156,0.238659447755045,0.761340552244955,0.999135322092521,0.999391357273281
"56212","Odondebuenia_balearica",64.6132958862833,0.358170865268366,0.394974059905964,0.441925391180944,0.9999993928222,0.999999816195247,0.003,-2.52287874528034,0.0188853940375092,0.981114605962491,0.99956766104626,1
"65411","Regalecus_glesne",79.0717101013675,0.457259586960787,0.44661195610071,0.632815191213246,0.999963274821493,0.999963256124527,0.086,-1.06550154875643,0.175185841687392,0.824814158312608,0.999135322092521,0.999391357273281
"65414","Rhinoptera_marginata",138.717441309333,0.866033272088789,0.443184811681058,0.620146067155945,0.999401810840387,0.999394920046815,0.7,-0.154901959985743,0.272845612743322,0.727154387256678,0.99956766104626,1
"75102","Spratelloides_lewisi",118.881207853312,0.730088417617892,0.442986509758376,0.61941300447996,0.99994382827351,0.999943571558503,0.61107694,-0.213904104792223,0.266517764559919,0.733482235440081,0.999135322092521,0.999391357273281
"78523","Syngnathus_phlegon",74.947873999473,0.428997452419125,0.397328931996079,0.450630646342549,0.999997639801505,0.999998041718274,0.022,-1.65757731917779,0.111687038371246,0.888312961628754,0.997405966277562,0.996956786366403
"86049","Vinciguerria_attenuata",65.662321814353,0.365360217896414,0.372975656851909,0.360603899225087,0.99998081750474,0.999981013523263,1.3937912456,0.144197732389682,0.304923386377852,0.695076613622148,0.982274102896671,0.975654290931223
"86090","Vinciguerria_poweriae",65.662321814353,0.365360217896414,0.441542258288831,0.614074040375419,0.999968598735472,0.999968645201103,1.326995349,0.122869400703791,0.302635970465156,0.697364029534844,0.990488543017726,0.987218502738892
