OID_First,OID,spNum,rare2d_PD_FD,rare3d_restrict,rare3d_scarce,rare2d_FD_TD_restrict,rare2d_FD_TD_scarce,rare4d_restrict_scarce,rare2d_PD_TD_restrict,rare2d_PD_TD_scarce,ID_f,NomActive,EffActive,NV,P,GT,NomActiveHours,EffActiveHours,xcoord,ycoord
4530,4530,40,6,0,0,0,1,0,0,0,9636,186.5179,409.2169,0.005640267,0.9308783,0.1353904,1528.681,3353.899,32.25,34.75
4531,4531,54,3,0,0,0,0,0,0,0,9694,373.0357,818.4339,0.01128053,1.861757,0.2707808,2930.953,6430.461,32.75,34.75
4536,4536,19,1,0,0,0,0,0,0,0,9851,553.9461,2636.657,0.01636494,2.764823,0.4007274,4564.193,21724.52,33.75,34.75
4774,4774,29,1,0,0,0,0,0,0,0,9765,186.5179,409.2169,0.005640267,0.9308783,0.1353904,1458.585,3200.11,33.25,34.75
4775,4775,90,5,2,1,4,5,1,5,3,9851,553.9461,2636.657,0.01636494,2.764823,0.4007274,4564.193,21724.52,33.75,34.75
4776,4776,67,5,0,0,0,0,0,0,0,9851,553.9461,2636.657,0.01636494,2.764823,0.4007274,4564.193,21724.52,33.75,34.75
4777,4777,45,4,0,0,0,0,0,0,0,9944,276.973,1318.328,0.00818247,1.382411,0.2003637,2429.469,11563.72,34.25,34.75
4935,4935,46,5,0,0,0,0,0,0,0,6046,59.62048,122.8084,0.001806271,0.2975874,0.04335817,635.019,1308.035,13.75,35.25
4937,4937,37,4,0,0,0,0,0,0,0,6174,29.81024,61.40421,0.000903135,0.1487937,0.02167909,302.4641,623.0264,14.25,35.25
4938,4938,41,4,0,0,0,0,0,0,0,6174,29.81024,61.40421,0.000903135,0.1487937,0.02167909,302.4641,623.0264,14.25,35.25
4939,4939,54,9,0,0,0,0,0,0,0,6285,1709.076,3620.881,0.04320262,8.514526,1.323611,17126.43,36499.11,14.75,35.25
4940,4940,23,3,0,0,0,0,0,0,0,6285,1709.076,3620.881,0.04320262,8.514526,1.323611,17126.43,36499.11,14.75,35.25
4941,4941,41,3,0,0,0,0,0,0,0,6429,115.6077,396.9654,0.003819981,0.5758628,0.08201481,1253.928,4305.647,15.25,35.25
5010,5010,68,3,1,1,2,2,1,3,3,9640,373.0357,818.4339,0.01128053,1.861757,0.2707808,3043.129,6676.572,32.25,35.25
5017,5017,48,4,1,1,1,1,1,2,1,9951,475.0492,640.8306,0.01274416,2.362037,0.3673969,3747.467,5055.248,34.25,35.25
5174,5174,56,7,0,0,0,0,0,0,0,5896,29.81024,61.40421,0.000903135,0.1487937,0.02167909,290.9845,599.3804,13.25,35.25
5176,5176,46,7,0,0,0,0,0,0,0,6046,59.62048,122.8084,0.001806271,0.2975874,0.04335817,635.019,1308.035,13.75,35.25
5178,5178,21,5,0,0,0,0,0,0,0,6174,29.81024,61.40421,0.000903135,0.1487937,0.02167909,302.4641,623.0264,14.25,35.25
5179,5179,43,7,0,0,0,0,0,0,0,6285,1709.076,3620.881,0.04320262,8.514526,1.323611,17126.43,36499.11,14.75,35.25
5180,5180,34,3,0,0,0,0,0,0,0,6285,1709.076,3620.881,0.04320262,8.514526,1.323611,17126.43,36499.11,14.75,35.25
5181,5181,58,6,0,0,0,0,0,0,0,6429,115.6077,396.9654,0.003819981,0.5758628,0.08201481,1253.928,4305.647,15.25,35.25
5182,5182,33,1,0,0,0,0,0,0,0,6429,115.6077,396.9654,0.003819981,0.5758628,0.08201481,1253.928,4305.647,15.25,35.25
5223,5223,12,1,0,0,0,0,0,0,0,8892,24.26998,49.65082,0.000619171,0.1208645,0.01889745,184.6764,380.5849,25.75,35.25
5413,5413,63,6,0,0,0,0,0,0,0,5917,59.62048,122.8084,0.001806271,0.2975874,0.04335817,523.0509,1077.399,13.25,35.75
5414,5414,66,7,0,0,0,0,0,0,1,5917,59.62048,122.8084,0.001806271,0.2975874,0.04335817,523.0509,1077.399,13.25,35.75
5415,5415,28,4,0,0,0,0,0,0,0,6057,238.4819,491.2336,0.007225083,1.19035,0.1734327,2266.378,4668.367,13.75,35.75
5418,5418,15,2,0,0,0,0,0,0,0,6181,59.62048,122.8084,0.001806271,0.2975874,0.04335817,497.5671,1024.907,14.25,35.75
5419,5419,39,2,0,0,0,0,0,0,0,6292,6836.303,14483.52,0.1728105,34.0581,5.294445,56327.38,120415.3,14.75,35.75
5420,5420,55,8,0,0,0,0,0,0,0,6292,6836.303,14483.52,0.1728105,34.0581,5.294445,56327.38,120415.3,14.75,35.75
5421,5421,26,2,0,0,0,0,0,0,0,6436,57.80387,198.4827,0.00190999,0.2879314,0.0410074,573.7351,1970.05,15.25,35.75
5422,5422,52,4,0,0,0,0,0,0,0,6436,57.80387,198.4827,0.00190999,0.2879314,0.0410074,573.7351,1970.05,15.25,35.75
5455,5455,54,3,0,0,0,0,0,0,0,8693,20.8887,125.2461,0.000521896,0.1042666,0.01517884,161.879,971.7845,23.75,35.75
5460,5460,16,1,0,0,0,0,0,0,0,8782,12.13499,24.82541,0.000309585,0.06043227,0.009448725,103.3478,212.7253,24.75,35.75
5588,5588,113,8,0,0,0,0,0,0,1,2325,90.75758,186.4321,0.002368535,0.4518941,0.07006093,810.3939,1678.199,-3.25,35.75
5589,5589,42,4,0,0,0,0,0,0,0,2465,45.37879,93.21603,0.001184267,0.225947,0.03503047,394.5902,817.4836,-2.75,35.75
5654,5654,57,7,0,0,0,0,0,0,0,5917,59.62048,122.8084,0.001806271,0.2975874,0.04335817,523.0509,1077.399,13.25,35.75
5655,5655,31,4,0,0,0,0,0,0,0,6057,238.4819,491.2336,0.007225083,1.19035,0.1734327,2266.378,4668.367,13.75,35.75
5656,5656,43,6,0,0,0,0,0,0,0,6057,238.4819,491.2336,0.007225083,1.19035,0.1734327,2266.378,4668.367,13.75,35.75
5657,5657,41,2,0,0,0,0,0,0,0,6181,59.62048,122.8084,0.001806271,0.2975874,0.04335817,497.5671,1024.907,14.25,35.75
5658,5658,60,6,0,0,0,0,0,0,0,6181,59.62048,122.8084,0.001806271,0.2975874,0.04335817,497.5671,1024.907,14.25,35.75
5661,5661,70,7,2,0,2,0,0,2,0,6436,57.80387,198.4827,0.00190999,0.2879314,0.0410074,573.7351,1970.05,15.25,35.75
5812,5812,11,1,0,0,0,0,0,0,0,1424,149.1746,305.177,0.003805712,0.7428898,0.1161525,1586.419,3256.932,-7.25,36.25
