"","evol_dist_scaled","funct_dist_scaled","scarcity_logbio_scaled","restrictedness_scaled"
"Acantholabrus_palloni",0.115373044162219,0.437255635626009,0.531791944858719,0.962264150943396
"Agonus_cataphractus",0.124438621824206,0.125585005650953,0.366586110427798,0.63542300669507
"Aldrovandia_affinis",0.373403335854636,0.14852008672315,0.62185840346449,0.998174071819842
"Aldrovandia_phalacra",0.249723834502067,0.279940463227482,0.904624379653343,1
"Alepocephalus_agassizii",0.163642961616908,0.100208828226459,0.33765948805808,0.998174071819842
"Alepocephalus_bairdii",0.182737104123839,0.153539912201044,0.298201256426369,0.992087644552648
"Alepocephalus_rostratus",0.151609173714826,0.189838622834436,0.402811397628218,0.977480219111381
"Allocyttus_verrucosus",0.275146470454792,0.430692800435012,0.741812705087939,1
"Alopias_vulpinus",1,1,0.548252292046326,0.999391357273281
"Alosa_alosa",0.22316119698291,0.261930967354673,0.520700945790444,0.972611077297626
"Alosa_fallax",0.22316119698291,0.22423361448093,0.352156155132648,0.772976262933658
"Amblyraja_jenseni",0.186172821945717,0.392263721573522,0.564694046392893,0.998174071819842
"Amblyraja_radiata",0.186172821945717,0.341179530060124,0.298997403956829,0.826536822884967
"Ammodytes_marinus",0.0928934076692098,0.31558121708299,0.255714756382619,0.856968959220937
"Ammodytes_tobianus",0.0425290207340939,0.192805284553452,0.354865905801613,0.857577601947657
"Anarhichas_lupus",0.0464111017365861,0.0280425459306261,0.384978818685974,0.954351795496044
"Anarhichas_minor",0.0464111017365861,0.269441081905983,0.622086065652047,1
"Anguilla_anguilla",0.580677170506706,0.239999254300439,0.362895717572287,0.919659160073037
"Anoplogaster_cornuta",0.385793518811636,0.258243414151809,0.767560058968623,0.998174071819842
"Anthias_anthias",0.445485314425886,0.151012055653197,0.460558266306507,0.933657942787584
"Antigonia_capros",0.448958794844045,0.265079354596967,0.828182645917762,1
"Antimora_rostrata",0.0710776375422309,0.169052609297206,0.483073514421056,0.995739500912964
"Aphanopus_carbo",0.278397353500685,0.54778127786444,0.307958325053498,0.984783931832015
"Aphia_minuta",0.236605024246771,0.636009451279823,0.46637268642165,0.863055386488132
"Apletodon_dentatus",0.231651294923848,0.318060833711108,0.790671341035886,0.993304930006086
"Apogon_imberbis",0.605229043804438,0.467691230057861,0.735218718064438,0.996348143639683
"Apristurus_aphyodes",0.515757896806868,0.145002556339317,0.528134031814724,0.996348143639683
"Apristurus_laurussonii",0.506517967579366,0.140161774394186,0.543247093826142,0.996956786366403
"Apristurus_manis",0.521917849625203,0.156833388667749,0.540115230891144,0.997565429093122
"Apristurus_melanoasper",0.535777743466456,0.384854349394425,0.635059763181818,0.998174071819842
"Apristurus_microps",0.506517967579366,0.167161859142503,0.731914146228048,0.998174071819842
"Apterichtus_caecus",0.23960425072512,0.209652708014342,0.684396580712743,0.995130858186245
"Arctozenus_risso",0.217530414531123,0.217040305536988,0.643288714638036,0.948874010955569
"Argentina_silus",0.275317267302637,0.129680831514534,0.169549933646214,0.818015824710895
"Argentina_sphyraena",0.275317267302637,0.101054284755807,0.202227798598808,0.388922702373707
"Argyropelecus_aculeatus",0.247244562248602,0.342282468265406,0.851975428567517,0.998174071819842
"Argyropelecus_hemigymnus",0.294525990766878,0.447055084310324,0.616488218213358,0.866707242848448
"Argyropelecus_olfersii",0.247244562248602,0.347028001836768,0.69080255005174,0.981740718198418
"Argyrosomus_regius",0.334529938611996,0.427510676458283,0.416559555354735,0.992696287279367
"Ariosoma_balearicum",0.575474206786589,0.358304789297531,0.594994599021247,0.980523432744979
"Arnoglossus_imperialis",0.116512164375085,0.074931270845749,0.389035847933846,0.743761412051126
"Arnoglossus_kessleri",0.096453815420906,0.123479055181154,0.774371752119349,0.996348143639683
"Arnoglossus_laterna",0.171686928322348,0.0636296871975972,0.312280457898642,0.374315276932441
"Arnoglossus_rueppelii",0.096453815420906,0.0851254854508856,0.467548896697611,0.849056603773585
"Arnoglossus_thori",0.116512164375085,0.0791643040647919,0.407688076298079,0.850882531953743
"Artediellus_atlanticus",0.124088990149645,0.0026484294635121,0.83440215264143,1
"Atherina_boyeri",0.329679940079993,0.0948496419262657,0.800949217563953,0.999391357273281
"Atherina_presbyter",0.329679940079993,0.292325387337557,0.445936946831397,0.972002434570907
"Aulopus_filamentosus",0.72410328256202,0.123606011084606,0.529275843428111,0.971393791844187
"Auxis_rochei",0.216359156159776,0.398049315074871,0.586116041304447,0.998174071819842
"Bajacalifornia_megalops",0.182737104123839,0.104868064358274,0.550802586125014,0.998782714546561
"Balistes_capriscus",0.429793537219243,0.553606481841325,0.476865845332767,0.978088861838101
"Bathophilus_nigerrimus",0.298121772532826,0.286492870445175,0.808021088030386,0.995739500912964
"Bathygadus_melanobranchus",0.400601525927722,0.252960843606543,0.674535988458395,0.998174071819842
"Bathypterois_dubius",0.550243066593077,0.18011578872969,0.623411958496179,0.979914790018259
"Bathyraja_brachyurops",0.319539494049808,0.416311540077499,0.385751109780242,0.981132075471698
"Bathyraja_pallida",0.319539494049808,0.469797047105715,0.655307575020007,0.999391357273281
"Bathyraja_richardsoni",0.345762916938739,0.482694007860536,0.552780231613301,1
"Bathysaurus_ferox",0.550243066593077,0.248461990625975,0.594115901286795,0.998782714546561
"Bathysolea_profundicola",0.0593755898915703,0.255057538091728,0.491073892093928,0.974437005477784
"Bellottia_apoda",0.172547340557692,0.389820835756617,0.803507926277142,0.986609860012173
"Belone_belone",0.388041682751341,0.315362903386585,0.518619463312658,0.953743152769324
"Benthocometes_robustus",0.168244850966213,0.372009793643829,0.633455478957308,0.962872793670116
"Benthodesmus_elongatus",0.296635753841621,0.331650158141298,0.690764207463797,0.998174071819842
"Benthosema_glaciale",0.300154518096721,0.312985317697272,0.619145336865314,0.922093730979915
"Beryx_decadactylus",0.287170121196143,0.228765469869263,0.489234250450549,0.985392574558734
"Beryx_splendens",0.287170121196143,0.242670106213258,0.49647211772849,0.989044430919051
"Blennius_ocellaris",0.212713973291219,0.207058634466784,0.402307935022649,0.701765063907486
"Boops_boops",0.109581906059475,0.17460269184682,0.226664287383898,0.701765063907486
